Sample,SOURCE,SITE,MARBLE GROUP,SELECT,MGS,d18O,d13C
C6.colS,CNR09/04,Proconn,Pro,,1.40,-4.29,1.26
C6.colF,CNR09/04,Proconn,Pro,,1.30,-1.40,3.05
C6b.1,CNR09/04,Proconn,Pro,,2.00,-1.41,1.73
C6b.2,CNR09/04,Proconn,Pro,,1.30,-1.35,1.83
C6b.3,CNR09/04,Proconn,Pro,,1.30,-1.60,2.03
C6b.4,CNR09/04,Proconn,Pro,,1.20,-1.46,2.04
C7.1,CNR09/04,Proconn,Pro,,1.30,-2.08,2.97
C7.2,CNR09/04,Proconn,Pro,,1.40,-1.86,2.71
C7.3,CNR09/04,Proconn,Pro,,1.30,-1.53,2.73
C7.4,CNR09/04,Proconn,Pro,,2.00,-1.74,2.95
C7i.1,CNR09/04,Proconn,Pro,,2.00,-1.40,2.68
C7i.2,CNR09/04,Proconn,Pro,,1.70,-1.36,2.85
C7i.3,CNR09/04,Proconn,Pro,,1.00,-1.93,2.36
C7i.4,CNR09/04,Proconn,Pro,,1.70,-2.00,2.56
C7i.5,CNR09/04,Proconn,Pro,,1.50,-1.92,3.04
C7i.6,CNR09/04,Proconn,Pro,,0.50,-1.86,2.82
C7i.7,CNR09/04,Proconn,Pro,,1.30,-1.86,3.08
C7i.8,CNR09/04,Proconn,Pro,,0.80,-3.38,3.14
C8.1,CNR09/04,Proconn,Pro,,1.30,-3.42,1.88
C8.1b,CNR09/04,Proconn,Pro,,1.50,-1.59,1.68
C8.2,CNR09/04,Proconn,Pro,,1.80,-2.36,1.94
C8.3,CNR09/04,Proconn,Pro,,0.80,-2.93,2.20
C8.4,CNR09/04,Proconn,Pro,,1.50,-3.83,2.24
C8.5,CNR09/04,Proconn,Pro,,1.10,-1.52,1.56
C8.6,CNR09/04,Proconn,Pro,,1.30,-2.16,2.47
C9.1,CNR09/04,Proconn,Pro,,1.50,-3.87,2.05
C9.2,CNR09/04,Proconn,Pro,,1.50,-4.00,2.83
C9.3,CNR09/04,Proconn,Pro,,1.00,-2.77,2.72
C10.1,CNR09/04,Proconn,Pro,,1.50,-3.93,3.30
C10.2,CNR09/04,Proconn,Pro,,1.70,-4.91,3.40
C10.3,CNR09/04,Proconn,Pro,,1.60,-1.98,2.83
C10.4,CNR09/04,Proconn,Pro,,0.80,-4.50,3.09
C10.5,CNR09/04,Proconn,Pro,,1.80,-2.46,2.15
C10.6,CNR09/04,Proconn,Pro,,1.60,-1.84,3.12
C10.7,CNR09/04,Proconn,Pro,,1.70,-2.21,3.30
C10.8,CNR09/04,Proconn,Pro,,0.80,-1.99,3.25
C10.9,CNR09/04,Proconn,Pro,,0.60,-2.34,3.61
C11.1,CNR09/04,Proconn,Pro,,0.90,-2.36,1.32
C11.2,CNR09/04,Proconn,Pro,,2.10,-2.72,2.55
C11.3,CNR09/04,Proconn,Pro,,1.80,-1.48,3.13
C11.4,CNR09/04,Proconn,Pro,,1.00,-4.32,-0.48
C11.5,CNR09/04,Proconn,Pro,,1.60,-2.49,2.08
C11.6,CNR09/04,Proconn,Pro,,1.70,-1.86,3.12
C12.1,CNR09/04,Proconn,Pro,,1.70,-1.70,3.24
C12.2,CNR09/04,Proconn,Pro,,0.60,-1.65,3.11
C12.3,CNR09/04,Proconn,Pro,,2.00,-1.75,3.20
C12.4,CNR09/04,Proconn,Pro,,2.00,-2.08,3.16
C12.5,CNR09/04,Proconn,Pro,,1.30,-1.72,2.76
C12.6,CNR09/04,Proconn,Pro,,2.20,-1.67,2.95
C12.7,CNR09/04,Proconn,Pro2,,1.40,-5.82,2.62
C12s.1,CNR09/04,Proconn,Pro,,1.50,-2.29,3.27
C12s.2,CNR09/04,Proconn,Pro,,0.70,-2.28,2.59
C12s.3,CNR09/04,Proconn,Pro,,1.50,-1.46,3.58
C12s.4,CNR09/04,Proconn,Pro,,1.80,-1.91,2.98
C12s.5,CNR09/04,Proconn,Pro,,1.40,-2.03,2.96
C13.1,CNR09/04,Proconn,Pro,,0.70,-1.77,1.88
C13.2,CNR09/04,Proconn,Pro,,1.30,-1.52,2.79
C13.3,CNR09/04,Proconn,Pro,,2.10,-1.63,3.25
C13.4,CNR09/04,Proconn,Pro,,1.60,-1.48,2.71
C13.5,CNR09/04,Proconn,Pro,,0.80,-3.23,3.35
C13.6,CNR09/04,Proconn,Pro,,1.30,-1.84,2.24
c14.1,CNR09/04,Proconn,Pro,,1.80,-1.53,3.50
C14.2,CNR09/04,Proconn,Pro,,1.60,-2.51,2.76
C14.3,CNR09/04,Proconn,Pro,,2.10,-2.69,2.48
C14.4,CNR09/04,Proconn,Pro,,1.00,-2.26,2.47
C14.5,CNR09/04,Proconn,Pro,,0.80,-1.90,3.08
C14.6,CNR09/04,Proconn,Pro,,2.10,-1.90,3.01
C14.7,CNR09/04,Proconn,Pro,,1.80,-1.44,2.11
C14.8,CNR09/04,Proconn,Pro,,2.00,-1.58,3.15
C14.9,CNR09/04,Proconn,Pro,,1.70,-2.58,2.48
C15.1,CNR09/04,Proconn,Pro,,1.90,-1.93,2.96
C15.2,CNR09/04,Proconn,Pro,,1.90,-3.40,2.92
C15.3,CNR09/04,Proconn,Pro,,2.00,-1.91,2.86
C15.4,CNR09/04,Proconn,Pro,,1.70,-2.23,2.87
C15.5,CNR09/04,Proconn,Pro,,1.40,-3.66,0.80
C15.6,CNR09/04,Proconn,Pro,,1.70,-2.22,2.82
C16.1,CNR09/04,Proconn,Pro,,1.00,-4.36,3.28
C16.2,CNR09/04,Proconn,Pro,,2.00,-2.91,3.03
C16.3,CNR09/04,Proconn,Pro,,1.70,-3.00,3.30
C16.4,CNR09/04,Proconn,Pro,,0.60,-3.93,2.66
C16.5,CNR09/04,Proconn,Pro,,1.60,-1.94,3.02
C16.6,CNR09/04,Proconn,Pro,,1.80,-4.82,3.15
M1.1,CNR09/04,Proconn,Pro,,1.40,-3.42,3.45
M1.1b,CNR09/04,Proconn,Pro,,1.00,-2.32,3.38
M1.2,CNR09/04,Proconn,Pro2,,1.30,-7.23,2.64
M1.3,CNR09/04,Proconn,Pro,,1.80,-0.61,2.45
M1.4,CNR09/04,Proconn,Pro,,2.00,-3.18,2.48
M1.5,CNR09/04,Proconn,Pro,,1.40,-1.04,2.51
M1.6,CNR09/04,Proconn,Pro2,,1.40,-6.86,2.43
M1.7,CNR09/04,Proconn,Pro,,2.00,-2.73,2.34
M1.8,CNR09/04,Proconn,Pro,,1.60,-1.41,2.67
M1.9,CNR09/04,Proconn,Pro,,1.50,-2.97,2.63
M1.9b,CNR09/04,Proconn,Pro,,1.60,-3.75,2.44
M1.9t,CNR09/04,Proconn,Pro,,1.70,-2.56,2.61
M1.10,CNR09/04,Proconn,Pro,,1.80,-0.86,2.46
M1.11,CNR09/04,Proconn,Pro,,1.50,-1.74,2.81
M1.12,CNR09/04,Proconn,Pro,,1.70,-0.84,2.68
M1.13,CNR09/04,Proconn,Pro,,1.60,-0.77,2.66
M1.14,CNR09/04,Proconn,Pro,,1.10,-2.03,2.78
M1.14b,CNR09/04,Proconn,Pro,,1.80,-0.52,2.59
M1.14t,CNR09/04,Proconn,Pro,,1.40,-1.68,2.65
M1.15,CNR09/04,Proconn,Pro,,1.70,-1.94,2.56
M1.16,CNR09/04,Proconn,Pro,,1.70,-1.53,2.75
M1.17,CNR09/04,Proconn,Pro,,0.90,-1.64,2.84
M1.18,CNR09/04,Proconn,Pro,,1.80,-1.82,3.46
M1.19,CNR09/04,Proconn,Pro,,1.10,-4.51,2.67
M1.19b,CNR09/04,Proconn,Pro,,1.30,-3.52,2.75
M1.20,CNR09/04,Proconn,Pro,,1.40,-2.09,2.72
M1.21,CNR09/04,Proconn,Pro,,1.70,-1.73,3.65
M1.21b,CNR09/04,Proconn,Pro,,2.00,-1.78,3.70
M1.22,CNR09/04,Proconn,Pro,,1.80,-1.48,2.50
M1.22b,CNR09/04,Proconn,Pro,,1.50,-4.47,2.92
M2.1,CNR09/04,Proconn,Pro,,2.40,-1.70,3.19
M2.2,CNR09/04,Proconn,Pro2,,1.90,-5.76,2.36
M2.3,CNR09/04,Proconn,Pro,,0.60,-1.94,2.26
M2.3b,CNR09/04,Proconn,Pro,,0.70,-3.33,3.03
M2.4,CNR09/04,Proconn,Pro,,0.80,-2.09,3.45
M2.5,CNR09/04,Proconn,Pro,,1.90,-2.45,2.18
M2.6,CNR09/04,Proconn,Pro,,1.80,-4.44,2.79
M2.7,CNR09/04,Proconn,Pro,,1.50,-2.11,3.20
M2.8,CNR09/04,Proconn,Pro,,1.80,-1.00,2.69
M2.9,CNR09/04,Proconn,Pro,,1.90,-1.58,2.49
M2.10,CNR09/04,Proconn,Pro,,1.80,-2.22,2.44
M2.10b,CNR09/04,Proconn,Pro,,1.90,-2.21,2.44
M2.11,CNR09/04,Proconn,Pro,,2.50,-2.78,2.57
M3.1,CNR09/04,Proconn,Pro,,1.40,-2.04,2.79
M3.1b,CNR09/04,Proconn,Pro,,1.50,-1.86,2.88
M3.2,CNR09/04,Proconn,Pro,,1.90,-1.82,2.35
M3.2b,CNR09/04,Proconn,Pro,,1.70,,
M3.3,CNR09/04,Proconn,Pro,,1.90,-2.74,2.88
M3.3b,CNR09/04,Proconn,Pro,,2.00,-2.07,3.36
M3.4,CNR09/04,Proconn,Pro,,2.00,-2.49,3.09
M3.5,CNR09/04,Proconn,Pro,,1.60,-1.02,3.49
M3.6,CNR09/04,Proconn,Pro,,1.80,-0.76,3.17
M3.6b,CNR09/04,Proconn,Pro,,1.90,-0.81,3.30
M3.7,CNR09/04,Proconn,Pro,,2.50,-2.27,2.74
M3.8,CNR09/04,Proconn,Pro,,2.00,-2.04,3.26
M4.1,CNR09/04,Proconn,Pro,,1.10,-2.07,3.28
M4.2,CNR09/04,Proconn,Pro,,2.00,-0.59,2.68
M4.3,CNR09/04,Proconn,Pro,,1.00,-1.41,3.23
M4.4,CNR09/04,Proconn,Pro,,1.90,-0.60,2.81
M4.5,CNR09/04,Proconn,Pro,,0.90,-2.60,3.91
M4.6,CNR09/04,Proconn,Pro,,1.70,-0.83,2.64
M4.7,CNR09/04,Proconn,Pro,,1.80,-0.67,2.80
M5.1,CNR09/04,Proconn,Pro,,1.50,,
M5.2,CNR09/04,Proconn,Pro,,1.90,,
M5.3,CNR09/04,Proconn,Pro,,2.00,-3.80,2.51
M5.4,CNR09/04,Proconn,Pro2,,1.80,-5.80,2.81
M5.5,CNR09/04,Proconn,Pro,,1.70,-1.12,2.32
M5.6,CNR09/04,Proconn,Pro,,1.60,-1.17,2.87
M5.7,CNR09/04,Proconn,Pro,,2.00,-2.68,2.50
M5.8,CNR09/04,Proconn,Pro,,1.70,-2.69,1.81
M5.8b,CNR09/04,Proconn,Pro,,0.50,-3.94,-0.89
M5.9,CNR09/04,Proconn,Pro,,0.50,-1.22,3.20
M6.1,CNR09/04,Proconn,Pro,,1.40,-3.39,2.30
M6.2,CNR09/04,Proconn,Pro,,0.40,-1.05,2.12
M6.3,CNR09/04,Proconn,Pro,,1.70,-2.26,3.44
M6.4,CNR09/04,Proconn,Pro,,1.40,-2.37,1.73
M6.5,CNR09/04,Proconn,Pro,,1.90,-2.49,3.09
M6.6,CNR09/04,Proconn,Pro,,1.80,-1.96,2.84
M6.7,CNR09/04,Proconn,Pro,,1.90,-1.17,3.32
M6.8,CNR09/04,Proconn,Pro,,1.30,-2.59,1.98
M6.9,CNR09/04,Proconn,Pro,,1.00,-1.63,3.00
M6.10,CNR09/04,Proconn,Pro,,1.70,-3.80,3.13
M6.11,CNR09/04,Proconn,Pro,,2.10,-3.65,1.84
M6.12,CNR09/04,Proconn,Pro,,0.50,-1.77,3.88
M6.13,CNR09/04,Proconn,Pro,,0.50,-2.00,3.09
M6.14,CNR09/04,Proconn,Pro,,1.60,-2.01,3.23
SB0,Costegoat,StBéat,,,,-5.30,1.86
SB1,Costegoat,StBéat,,,,-5.43,0.99
SB2,Costegoat,StBéat,,,,0.05,1.32
SB3,Costegoat,StBéat,,,,-1.94,2.57
SB6,Costegoat,StBéat,,,,-11.46,-6.68
SB7,Costegoat,StBéat,,,,-3.02,-2.70
SB8,Costegoat,StBéat,,,,-1.09,2.80
SB9,Costegoat,StBéat,,,,-1.95,3.62
SB1b,Costegoat,StBéat,,,,-1.76,3.63
SB2b,Costegoat,StBéat,,,,-1.82,3.72
SB3b,Costegoat,StBéat,,,,-1.53,3.83
SB4b,Costegoat,StBéat,,,,-2.47,3.50
SB1a,Costegoat,StBéat,,,,-1.79,3.69
SB2a,Costegoat,StBéat,,,,-1.69,3.68
SB3a,Costegoat,StBéat,,,,-2.04,3.59
SB4a,Costegoat,StBéat,,,,-1.40,4.26
SB5a,Costegoat,StBéat,,,,-2.56,3.32
SB6a,Costegoat,StBéat,,,,-2.04,3.30
OMG1,Costegoat,StBéat,,,,-1.80,3.78
OMG2,Costegoat,StBéat,,,,-2.02,3.90
OMG3,Costegoat,StBéat,,,,-1.55,4.13
OMG4,Costegoat,StBéat,,,,-1.83,3.64
OMG5,Costegoat,StBéat,,,,-1.71,3.76
OMG6,Costegoat,StBéat,,,,-1.70,3.81
OMG7,Costegoat,StBéat,,,,-1.08,3.08
OMG9,Costegoat,StBéat,,,,-1.40,3.25
SBS1,Costegoat,StBéat,,,,-3.35,3.93
SBS2,Costegoat,StBéat,,,,-1.34,1.65
SBS3,Costegoat,StBéat,,,,-9.92,0.44
Beat1,Costegoat,StBéat,,,,-1.60,3.27
Beat2,Costegoat,StBéat,,,,-1.96,3.19
Beat3,Costegoat,StBéat,,,,-2.35,2.86
Beat4,Costegoat,StBéat,,,,-1.70,3.21
Beat5,Costegoat,StBéat,,,,-2.07,3.06
Beat6,Costegoat,StBéat,,,,-1.67,3.76
Beat7,Costegoat,StBéat,,,,-1.94,4.30
Beat9,Costegoat,StBéat,,,,-1.85,3.27
Beat10,Costegoat,StBéat,,,,-1.55,2.35
Beat11,Costegoat,StBéat,,,,-1.88,2.09
Beat12,Costegoat,StBéat,,,,-5.90,2.55
Beat13,Costegoat,StBéat,,,,-6.17,2.90
Beat14,Costegoat,StBéat,,,,-8.81,2.59
Beat16,Costegoat,StBéat,,,,-6.97,1.31
Beat17,Costegoat,StBéat,,,,-5.96,3.29
Beat20,Costegoat,StBéat,,,,-2.74,2.90
BeatG1,Costegoat,StBéat,,,,-2.50,2.44
BeatG2,Costegoat,StBéat,,,,-1.54,3.02
BeatG3,Costegoat,StBéat,,,,-2.26,3.56
BeatG4,Costegoat,StBéat,,,,-2.16,3.67
BeatG5,Costegoat,StBéat,,,,-2.23,3.35
Mart1,Costegoat,StBéat,,,,-4.91,0.32
MarT2,Costegoat,StBéat,,,,-3.22,0.74
Mar1,Costegoat,StBéat,,,,-10.18,0.95
Mar2,Costegoat,StBéat,,,,-5.93,1.49
Mar3,Costegoat,StBéat,,,,-5.51,2.88
Mar4,Costegoat,StBéat,,,,-9.90,0.05
Mar5,Costegoat,StBéat,,,,-7.16,2.88
Mar6,Costegoat,StBéat,,,,-9.34,0.94
Mar9,Costegoat,StBéat,,,,-2.75,2.51
Mar10,Costegoat,StBéat,,,,-2.97,3.13
Soum1,Costegoat,StBéat,,,,-3.65,3.04
Soum2,Costegoat,StBéat,,,,-3.37,4.62
Soum3,Costegoat,StBéat,,,,-8.65,2.92
Soum4,Costegoat,StBéat,,,,-2.02,1.27
Soum5,Costegoat,StBéat,,,,-2.36,0.36
Soum6,Costegoat,StBéat,,,,-2.07,1.08
Soum7,Costegoat,StBéat,,,,-2.89,1.08
Soum8,Costegoat,StBéat,,,,-2.47,1.52
Soum9,Costegoat,StBéat,,,,-2.53,1.15
Soum10,Costegoat,StBéat,,,,-6.53,2.76
Soum11,Costegoat,StBéat,,,,-2.83,1.50
Soum13,Costegoat,StBéat,,,,-3.99,1.23
Soum14,Costegoat,StBéat,,,,-4.35,1.30
Soum15,Costegoat,StBéat,,,,-3.92,1.36
Soum16,Costegoat,StBéat,,,,-3.96,1.54
Soum17,Costegoat,StBéat,,,,-3.59,2.25
Soum18,Costegoat,StBéat,,,,-3.69,2.16
Soum19,Costegoat,StBéat,,,,-3.44,1.63
Soum20,Costegoat,StBéat,,,,-4.10,1.54
Soum21,Costegoat,StBéat,,,,-4.28,1.62
PDG1,Costegoat,StBéat,,,,-13.28,-0.33
PDG2,Costegoat,StBéat,,,,-12.58,-0.82
PDG3,Costegoat,StBéat,,,,-12.66,-0.70
PDG4,Costegoat,StBéat,,,,-13.84,-0.40
,,StBéat,,,1.7,-2.17,3.82
,,StBéat,,,2,-1.78,3.91
,,StBéat,,,2,-1.96,3.87
,,StBéat,,,2.8,-1.70,1.81
,,StBéat,,,1.75,-2.02,3.77
,,StBéat,,,2,-7.03,1.37
,,StBéat,,,2.8,-1.95,3.47
,,StBéat,,,2.5,-1.94,3.70
,,StBéat,,,2,-1.79,3.96
,,StBéat,,,1.6,-2.28,3.80
,,StBéat,,,1.7,-1.26,3.55
,,StBéat,,,2,-2.13,2.07
,,StBéat,,,2.2,-1.44,3.43
,,StBéat,,,1.7,-1.88,2.02
,,StBéat,,,2.2,-2.32,2.06
,,StBéat,,,1.4,-1.42,3.41
,,StBéat,,,1.7,-5.07,3.35
,,StBéat,,,2.2,-2.08,3.89
,,StBéat,,,1.6,-2.02,4.00
,,StBéat,,,1.6,-2.53,3.89
,,StBéat,,,3.2,-3.63,3.54
,,StBéat,,,0.33,-5.68,2.34
,,StBéat,,,0.15,-5.93,2.20
,,StBéat,,,0.05,-6.33,2.07
,,StBéat,,,0.05,-5.68,2.22
,,StBéat,,,0.1,-5.91,2.35
,,StBéat,,,1.6,-11.48,0.57
,,StBéat,,,0.9,-5.80,2.40
,,StBéat,,,0.8,-7.27,1.65
,,StBéat,,,1.3,-6.79,1.38
,,StBéat,,,1.1,-9.70,-0.64
,,StBéat,,,0.8,-5.21,1.02
,,StBéat,,,1.05,-8.20,-1.15
,,StBéat,,,1.3,-5.31,0.51
,,StBéat,,,0.9,-5.50,0.63
,,StBéat,,,0.65,-11.44,1.56
,,StBéat,,,1.3,-6.32,3.72
,,StBéat,,,2.5,-5.57,0.38
,,StBéat,,,1.05,-6.68,1.92
,,StBéat,,,1.7,-6.09,2.25
,,StBéat,,,1.2,-5.96,2.25
,,StBéat,,,1.7,-5.57,2.58
,,StBéat,,,1.1,-6.30,3.48
,,StBéat,,,1.75,-5.41,3.08
,,StBéat,,,2.5,-2.38,3.49
,,StBéat,,,1.4,-1.99,3.36
,,StBéat,,,1.3,-1.51,3.79
,,StBéat,,,1.1,-1.48,4.10
,,StBéat,,,1.6,-1.54,4.11
,,StBéat,,,2,-1.53,4.08
,,StBéat,,,2.8,-2.04,3.25
,,StBéat,,,2.8,-1.76,3.84
,,StBéat,,,1.05,-2.75,3.75
,,StBéat,,,1.3,-2.65,3.30
,,StBéat,,,1.7,-2.77,3.23
,,StBéat,,,1.3,-3.05,2.72
,,StBéat,,,1.05,-2.61,3.42
AT1,CNR11/98,Serav,Sera,,0.55,-2.39,2.60
AT3,CNR11/98,Serav,Sera,,0.55,-1.70,2.47
AT5,CNR11/98,Serav,Sera,,0.85,-2.10,2.50
AT7,CNR11/98,Serav,Sera,,0.60,-1.77,2.35
AT9,CNR11/98,Serav,Sera,,0.50,-2.48,2.10
AT11,CNR11/98,Serav,Sera,,0.55,-2.01,2.41
AT13,CNR11/98,Serav,Sera,,0.55,-2.39,2.50
AT15,CNR11/98,Serav,Sera,,0.40,-1.78,2.46
AT17,CNR11/98,Serav,Sera,,0.55,-1.66,2.33
AT19,CNR11/98,Serav,Sera,,0.45,-1.79,2.36
AT20,CNR11/98,Serav,Sera,,0.60,-2.39,2.10
AT24,CNR11/98,Serav,Sera,,0.70,-1.90,2.60
AT27,CNR11/98,Serav,Sera,,0.85,-1.59,2.43
AM2,CNR11/98,Serav,Sera,,0.70,-2.58,2.60
AM4,CNR11/98,Serav,Sera,,0.90,-1.54,2.64
AM6,CNR11/98,Serav,Sera,,0.50,-2.19,2.40
AM9,CNR11/98,Serav,Sera,,0.45,-2.45,2.06
AM10,CNR11/98,Serav,Sera,,0.65,-1.76,2.79
AM13,CNR11/98,Serav,Sera,,0.65,-1.77,2.30
AM15,CNR11/98,Serav,Sera,,0.50,-1.70,2.83
AM18,CNR11/98,Serav,Sera,,0.50,-2.15,2.21
AM23,CNR11/98,Serav,Sera,,0.65,-2.20,2.44
AM24,CNR11/98,Serav,Sera,,0.45,-2.39,2.40
AM25,CNR11/98,Serav,Sera,,0.50,-2.10,2.30
AM26,CNR11/98,Serav,Sera,,0.55,-2.10,2.50
C1,CNR11/98,Serav,Sera,,0.85,-1.42,2.50
C4,CNR11/98,Serav,Sera,,0.55,-1.41,2.60
C5,CNR11/98,Serav,Sera,,0.55,-0.65,2.45
C6cor,CNR11/98,Serav,Sera,,0.88,-1.03,2.80
C7,CNR11/98,Serav,Sera,,0.70,-0.83,2.73
C8cor,CNR11/98,Serav,Sera,,0.70,-1.13,2.40
C9,CNR11/98,Serav,Sera,,0.60,-1.07,2.29
C10cor,CNR11/98,Serav,Sera,,0.60,-1.22,2.50
C11,CNR11/98,Serav,Sera,,0.70,-1.22,2.25
TB1,CNR11/98,Serav,Sera,,0.80,-1.90,1.80
TB5,CNR11/98,Serav,Sera,,0.80,-2.06,1.74
TB7,CNR11/98,Serav,Sera,,0.88,-2.03,1.65
TB9,CNR11/98,Serav,Sera,,0.80,-2.32,1.79
TB17,CNR11/98,Serav,Sera,,1.00,-2.42,1.49
TB19,CNR11/98,Serav,Sera,,0.55,-2.19,1.70
COR2,CNR11/98,Serav,Sera,,1.00,-1.65,1.78
COR4,CNR11/98,Serav,Sera,,1.10,-1.58,1.83
COR5,CNR11/98,Serav,Sera,,1.20,-1.88,1.85
COR7,CNR11/98,Serav,Sera,,0.90,-2.31,1.85
COR9,CNR11/98,Serav,Sera,,0.65,-1.70,1.79
COR11,CNR11/98,Serav,Sera,,0.90,-2.49,1.86
Fond2,CNR11/98,Serav,Sera,,0.40,-2.39,2.70
Fond3,CNR11/98,Serav,Sera,,0.65,-2.27,2.56
Fond4,CNR11/98,Serav,Sera,,0.65,-2.06,2.49
Fond6,CNR11/98,Serav,Sera,,0.55,-2.10,2.70
Fond8,CNR11/98,Serav,Sera,,0.85,-2.63,1.99
Fond10,CNR11/98,Serav,Sera,,0.55,-1.76,2.79
Fond13,CNR11/98,Serav,Sera,,0.55,-2.00,2.60
Fond15,CNR11/98,Serav,Sera,,0.55,-2.19,2.60
Fond17,CNR11/98,Serav,Sera,,0.85,-2.06,2.67
Fond19,CNR11/98,Serav,Sera,,0.50,-2.10,2.50
Fond20,CNR11/98,Serav,Sera,,0.50,-2.51,1.47
Th_AT1,CNR/09/03,Thasos,Thasos,,3.50,-4.52,2.66
Th_AT2,CNR/09/03,Thasos,Thasos,,3.40,-4.56,2.08
Th_AC1,CNR/09/03,Thasos,Thasos,,3.80,-2.96,1.89
Th_AC2,CNR/09/03,Thasos,Thasos,,3.30,-4.74,2.07
Th_AC3,CNR/09/03,Thasos,Thasos,,3.70,-2.46,2.25
Th_AC4,CNR/09/03,Thasos,Thasos,,4.00,-3.20,2.10
Th_P1,CNR/09/03,Thasos,Thasos,,6.00,-3.30,1.50
Th_P2,CNR/09/03,Thasos,Thasos,,6.50,-2.36,2.31
Th_P3,CNR/09/03,Thasos,Thasos,,7.50,-1.91,2.26
Th25,Pens5/97,Thasos,Thasos,,3.50,-0.33,3.41
Th26,Pens5/97,Thasos,Thasos,,4.50,-1.36,3.24
Th27,Pens5/97,Thasos,Thasos,,4.00,-0.22,3.25
Th28,Pens5/97,Thasos,Thasos,,3.50,-0.78,3.26
A1,CNR04/00,Thasos,Thasos,,3.40,-0.62,3.06
A2,CNR04/00,Thasos,Thasos,,3.10,-0.07,3.00
A3,CNR04/00,Thasos,Thasos,,2.40,-0.08,3.20
A4,CNR04/00,Thasos,Thasos,,4.00,-0.06,3.11
A5,CNR04/00,Thasos,Thasos,,4.30,0.21,2.92
A6,CNR04/00,Thasos,Thasos,,2.50,0.32,3.29
A7,CNR04/00,Thasos,Thasos,,3.80,-0.04,2.97
A8,CNR04/00,Thasos,Thasos,,3.60,-0.25,2.99
B1.1,CNR04/00,Thasos,Thasos,,3.80,-0.11,2.97
B1.3,CNR04/00,Thasos,Thasos,,4.50,-0.68,2.87
Th24,Pens5/97,Thasos,Thasos,,3.50,-0.88,3.11
B2.1,CNR04/00,Thasos,Thasos,,4.00,-0.22,2.96
B2.2,CNR04/00,Thasos,Thasos,,3.10,0.15,2.79
B2.3,CNR04/00,Thasos,Thasos,,4.50,-0.32,2.80
Th22,Pens5/97,Thasos,Thasos,,5.50,0.15,3.40
Th23,Pens5/97,Thasos,Thasos,,3.00,-0.31,3.42
B3.1,CNR04/00,Thasos,Thasos,,3.10,-1.42,3.06
B3.2,CNR04/00,Thasos,Thasos,,3.40,0.42,3.14
B3.3,CNR04/00,Thasos,Thasos,,3.20,0.28,3.16
B4.1,CNR04/00,Thasos,Thasos,,4.00,0.42,3.18
B4.2,CNR04/00,Thasos,Thasos,,3.50,-0.03,2.90
B5.1,CNR04/00,Thasos,Thasos,,4.10,-0.17,2.80
B5.2,CNR04/00,Thasos,Thasos,,3.00,-0.15,2.96
B5.3,CNR04/00,Thasos,Thasos,,3.30,0.37,3.26
Th17,Pens5/97,Thasos,Thasos,,3.00,-0.24,3.27
Th18,Pens5/97,Thasos,Thasos,,4.00,-0.35,3.06
Th19,Pens5/97,Thasos,Thasos,,4.00,-1.71,3.36
B6.1,CNR04/00,Thasos,Thasos,,3.60,0.10,2.95
B6.3,CNR04/00,Thasos,Thasos,,4.00,-0.08,2.99
B6.4,CNR04/00,Thasos,Thasos,,3.50,0.03,2.76
B7.1,CNR04/00,Thasos,Thasos,,3.70,0.10,3.11
Th15,Pens5/97,Thasos,Thasos,,4.00,-0.12,2.94
Th16,Pens5/97,Thasos,Thasos,,4.00,-0.12,3.09
B7.2,CNR04/00,Thasos,Thasos,,3.50,0.17,2.66
B7.3,CNR04/00,Thasos,Thasos,,2.60,-0.69,2.82
Th12,Pens5/97,Thasos,Thasos,,3.50,0.26,3.24
Th13,Pens5/97,Thasos,Thasos,,3.00,-0.12,3.42
Th14,Pens5/97,Thasos,Thasos,,3.50,-0.28,3.47
B8.1,CNR04/00,Thasos,Thasos,,3.40,-0.58,2.75
B8.2,CNR04/00,Thasos,Thasos,,3.00,-0.15,2.84
Th10,Pens5/97,Thasos,Thasos,,4.00,0.52,3.64
Th11,Pens5/97,Thasos,Thasos,,3.50,0.08,3.37
B9.1,CNR04/00,Thasos,Thasos,,3.10,-0.38,3.60
B9.2,CNR04/00,Thasos,Thasos,,3.50,-2.51,3.34
Th7,Pens5/97,Thasos,Thasos,,4.50,-0.71,3.58
Th8,Pens5/97,Thasos,Thasos,,4.50,-0.23,3.54
B10.1,CNR04/00,Thasos,Thasos,,4.50,0.30,3.06
B10.2,CNR04/00,Thasos,Thasos,,3.60,-0.24,2.99
B10.3,CNR04/00,Thasos,Thasos,,3.70,-0.58,3.20
B11.1,CNR04/00,Thasos,Thasos,,3.00,0.02,3.47
B11.2,CNR04/00,Thasos,Thasos,,3.50,-0.32,3.43
Th5,Pens5/97,Thasos,Thasos,,4.50,-0.46,3.60
Th6,Pens5/97,Thasos,Thasos,,4.50,-2.95,3.43
Th1,Pens5/97,Thasos,Thasos,,5.00,-0.60,3.09
Th2,Pens5/97,Thasos,Thasos,,4.00,-0.53,3.04
Th3,Pens5/97,Thasos,Thasos,,4.00,-0.18,2.60
Th4,Pens5/97,Thasos,Thasos,,5.00,-1.16,2.95
AC2,CNR04/00,Thasos,Thasos,,3.20,-1.24,2.66
AC3,CNR04/00,Thasos,Thasos,,3.10,-0.80,2.75
